,SRRIP,Thermometer
cassandra;1K,10.708765731949637,40.59237296154938
cassandra;2K,13.025391347220513,38.38592382595828
cassandra;4K,14.135383558113643,41.79623743664639
cassandra;8K,13.138841567291298,41.24787052810916
cassandra;16K,6.52503793626719,47.34446130500814
cassandra;32K,-3.3898305084819755,44.406779661025055
drupal;1K,10.954497214115122,34.936322631997896
drupal;2K,10.047129391602422,43.77677806341043
drupal;4K,9.410158383397093,51.36537411250693
drupal;8K,13.856648340460092,64.304622276522
drupal;16K,10.078277886496565,67.38421395955679
drupal;32K,8.679927667270382,73.23688969258633
tomcat;1K,6.462896195447487,4.977667760856682
tomcat;2K,1.5729193178926124,11.931789259353474
tomcat;4K,8.72678723146008,31.844479508030854
tomcat;8K,19.974805564684,46.41800854419993
tomcat;16K,24.668008048290467,54.42655935613678
tomcat;32K,16.269841269841617,57.34126984126484
