,LRU,SRRIP,GHRP,Hawkeye,Thermometer,OPT
cassandra_result,0.767414,0.739562,0.786324,0.7743869999999999,0.666369,0.52409
drupal_result,0.9651339999999999,0.9125390000000001,0.9694130000000001,0.9678300000000001,0.745507,0.640978
finagle-chirper_result,1.0218,1.01003,1.02024,1.0458399999999999,0.95381,0.793313
finagle-http_result,0.6291169999999999,0.623226,0.637134,0.6410980000000001,0.583971,0.480927
kafka_result,1.11173,1.0772300000000001,1.13115,1.18252,0.997235,0.8112849999999999
mediawiki_result,1.47743,1.46488,1.49509,1.51058,1.32145,1.12277
tomcat_result,2.20664,1.96278,2.06909,2.1257,1.72065,1.1968100000000002
verilator_result,67.4529,65.27619999999999,65.4204,65.5153,33.3286,33.2915
wordpress_result,0.9349810000000001,0.900117,0.944159,0.938728,0.7856190000000001,0.673378
