,Thermometer-training-profile,Thermometer-same-input-profile,OPT
cassandra;\#1,0.9291310627516434,0.8024497107307876,3.5890360113932407
cassandra;\#2,0.7414436584546351,0.9103457043487894,4.2370803556023855
cassandra;\#3,0.2739043028863885,0.4905987222060706,1.4903334473269687
drupal;\#1,1.6675400446590989,1.6715453450065554,2.5143272931178817
drupal;\#2,2.20580486056953,2.2511223995109972,3.3401485291121373
drupal;\#3,3.3221646571556733,3.438469587536783,4.631780048782446
finagle-chirper;\#1,0.015226835057548791,0.009628733933463134,0.030005822025166756
finagle-chirper;\#2,0.0,0.0019875315520666028,0.01678359977299161
finagle-chirper;\#3,-0.4090705927971591,-0.08731969962022698,0.31375892066931776
finagle-http;\#1,-0.002782866816629901,-0.008116694881845793,0.006957167041585052
finagle-http;\#2,0.003969940544297097,0.0028023109724462296,0.0028023109724462296
finagle-http;\#3,0.003269362801190725,0.0028023109724462296,0.0028023109724462296
kafka;\#1,0.6955376821135173,1.6642200859506187,5.152539877902671
kafka;\#2,0.590041666837039,1.6642200859506187,5.152539877902671
kafka;\#3,0.30245228047712414,0.9086633307638956,1.6945166642714264
mediawiki;\#1,1.9899366560146088,1.9029425007977943,3.488946496408746
mediawiki;\#2,1.9479696263622763,1.9029425007977943,3.488946496408746
mediawiki;\#3,1.5105339870146952,1.5301957197262768,3.352752856294108
tomcat;\#1,0.8030743768493899,0.9040072220271752,1.7638171422839535
tomcat;\#2,0.5420541540358631,0.6544468992447157,1.4768406720443983
tomcat;\#3,0.6867821856662712,0.9040072220271752,1.7638171422839535
verilator;\#1,63.57996736705403,55.291532083513694,55.315840298358346
verilator;\#2,61.908361359928065,55.291532083513694,55.315840298358346
verilator;\#3,61.673270953348194,55.291532083513694,55.315840298358346
wordpress;\#1,2.001240908873969,1.8999122552601022,2.8816253703452133
wordpress;\#2,1.584677548095513,1.5601996544714694,2.6393554864183093
wordpress;\#3,1.5797110189544024,1.5601996544714694,2.6393554864183093
