,Thermometer-training-profile,Thermometer-same-input-profile,OPT
cassandra;\#1,0.9186415240492829,0.8024497107307876,3.5890360113932407
cassandra;\#2,0.48995950562990215,0.4905987222060706,1.4903334473269687
cassandra;\#3,0.6724299192720963,0.9103457043487894,4.2370803556023855
drupal;\#1,1.662867194253728,1.6715453450065554,2.5143272931178817
drupal;\#2,2.2417826731378474,2.2871923043389777,3.5681071812607157
drupal;\#3,2.1812139479656283,2.2511223995109972,3.3401485291121373
finagle-chirper;\#1,0.009495984082093812,0.0019875315520666028,0.01678359977299161
finagle-chirper;\#2,0.007950126208266411,0.0019875315520666028,0.01678359977299161
finagle-chirper;\#3,0.025079493035967397,0.009628733933463134,0.030005822025166756
finagle-http;\#1,-0.004174300224955151,-0.008116694881845793,0.006957167041585052
finagle-http;\#2,0.0037364146299144786,0.0028023109724462296,0.0028023109724462296
finagle-http;\#3,0.003269362801190725,0.0028023109724462296,0.0028023109724462296
kafka;\#1,0.690479612233964,0.9086633307638956,1.6945166642714264
kafka;\#2,0.9449662453641028,1.6642200859506187,5.152539877902671
kafka;\#3,0.8770889642172133,1.6642200859506187,5.152539877902671
mediawiki;\#1,1.9046911270333193,1.9029425007977943,3.488946496408746
mediawiki;\#2,1.8714672285585545,1.9029425007977943,3.488946496408746
mediawiki;\#3,1.4951465440230474,1.5301957197262768,3.352752856294108
tomcat;\#1,0.0020329696858828045,0.0017788484751460434,0.002541212107345042
tomcat;\#2,0.0017788484751460434,0.0017788484751460434,0.002541212107345042
tomcat;\#3,0.8554215356838298,0.9040072220271752,1.7638171422839535
verilator;\#1,62.09050647664079,55.291532083513694,55.315840298358346
verilator;\#2,61.44864773065003,56.130037329884495,56.19862241948601
verilator;\#3,62.17449815703641,57.23031741401712,57.413619368354055
wordpress;\#1,1.9861884639530671,1.8999122552601022,2.8816253703452133
wordpress;\#2,1.5676494481831356,1.5601996544714694,2.6393554864183093
wordpress;\#3,1.5520403565967986,1.5601996544714694,2.6393554864183093
