,10,20,30,40,50,60,70,80,90,95,99,99.1,99.2,99.3,99.4,99.5,99.6,99.7,99.8,99.9,99.95,100
cassandra,0.999996916,0.999996913,0.999965206,0.999923972,0.999858956,0.999779152,0.999484536,0.998712999,0.995305164,0.984962406,0.886363636,0.875,0.857142857,0.83908046,0.819672131,0.785714286,0.75,0.675675676,0.581818182,0.41509434,0.083333333,0
drupal,0.999989455,0.999975761,0.999962914,0.999944601,0.999898734,0.999813294,0.999667664,0.999099099,0.996598639,0.987679671,0.9,0.884615385,0.863013699,0.842105263,0.804347826,0.75,0.676470588,0.538461538,0.307692308,0,0,0
finagle-chirper,0.999971333,0.999939515,0.999899967,0.999792078,0.999585062,0.999241379,0.998614958,0.997108898,0.991869919,0.980645161,0.875,0.866666667,0.846153846,0.826086957,0.8,0.756756757,0.722222222,0.666666667,0.5,0.25,0,0
finagle-http,0.999998998,0.999998997,0.999992277,0.999978134,0.999947202,0.999883382,0.999661934,0.999012183,0.996515679,0.989795918,0.924528302,0.914110429,0.903153153,0.885714286,0.863636364,0.833333333,0.8,0.735849057,0.625,0.49382716,0,0
kafka,0.999987645,0.999958953,0.999930963,0.999879981,0.999796085,0.999574649,0.99905303,0.997245179,0.991304348,0.975,0.833333333,0.818181818,0.8,0.769230769,0.75,0.681818182,0.642857143,0.5,0.471783296,0,0,0
mediawiki,0.99998567,0.9999781,0.999963755,0.999935329,0.999857611,0.999749185,0.999446597,0.998575499,0.993492408,0.976666667,0.8125,0.791666667,0.767857143,0.740740741,0.7,0.642857143,0.558823529,0.4375,0.272727273,0,0,0
tomcat,0.999979554,0.999930023,0.999848186,0.999781481,0.999546074,0.999078341,0.998187468,0.995584989,0.983350676,0.948529412,0.721311475,0.695652174,0.666666667,0.642857143,0.615384615,0.570588235,0.517241379,0.448275862,0.333333333,0.171428571,0.007142857,0
verilator,0.999982115,0.999703616,0.997925311,0.997925311,0.997925311,0.997920998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wordpress,0.999984069,0.999971322,0.999952442,0.999939309,0.99989579,0.999821556,0.99965773,0.999284692,0.997619048,0.991935484,0.866666667,0.857142857,0.823529412,0.8,0.769230769,0.733333333,0.666666667,0.583333333,0.4,0.066666667,0,0
