Trace,LRU,2,3,4,8,16,OPT
cassandra_result,2.66783,2.68867,2.70648,2.70725,2.69612,2.65296,2.76175
drupal_result,2.75272,2.81325,2.81507,2.81779,2.81549,2.80224,2.85094
finagle-chirper_result,2.46284,2.47437,2.4835,2.4833,2.47272,2.43251,2.50368
finagle-http_result,2.73296,2.74688,2.75318,2.75329,2.74985,2.71612,2.78234
kafka_result,2.5225,2.5501,2.56642,2.56704,2.55296,2.47976,2.62778
mediawiki_result,2.33957,2.3639,2.37541,2.37632,2.36538,2.34604,2.41801
tomcat_result,2.0373,2.10847,2.12159,2.12153,2.13257,2.11421,2.21988
verilator_result,0.302768,0.496924,0.499181,0.499421,0.499451,0.499474,0.49971
wordpress_result,2.73231,2.78123,2.78271,2.78602,2.78683,2.7841,2.81024
