Trace,LRU,Confluence-LRU,Shotgun-LRU,OPT,Confluence-OPT,Shotgun-OPT,Perfect-BTB
cassandra_result,3.80946,3.66956,4.23182,3.47642,3.41062,3.70738,1.11236
drupal_result,4.28198,4.11828,5.052,3.88558,3.81462,4.31232,1.8062
finagle-chirper_result,6.4429,6.37268,7.3503,6.25368,6.2168,6.67388,3.0322
finagle-http_result,5.5415,5.48726,6.37238,5.3594,5.3287,5.71988,2.5671
kafka_result,4.0121,3.82866,4.58578,3.58992,3.49976,3.87836,1.15504
mediawiki_result,9.04118,8.78394,9.53546,8.5788,8.43844,8.85998,6.36284
tomcat_result,10.1953,9.65438,11.3891,8.87248,8.6391,9.68756,3.9586
verilator_result,62.49,42.7927,52.4072,30.2717,21.0675,35.2017,0.14784
wordpress_result,5.13904,4.98988,5.5105,4.79552,4.72632,5.03512,2.17888
