Trace,LRU,SRRIP,GHRP,Hawkeye,Thermometer,Thermometer-7979-entry,OPT
cassandra_result,3.80946,3.7582,3.83158,3.809,3.66472,3.6308,3.47642
drupal_result,4.28198,4.21864,4.28288,4.28362,4.0286,4.0411,3.88558
finagle-chirper_result,6.4429,6.4244,6.44262,6.47078,6.35678,6.38934,6.25368
finagle-http_result,5.5415,5.5264,5.55518,5.55416,5.46834,5.47046,5.3594
kafka_result,4.0121,3.94684,4.03922,4.12134,3.84254,3.81998,3.58992
mediawiki_result,9.04118,9.02876,9.05416,9.07482,8.81434,8.82994,8.5788
tomcat_result,10.1953,9.87856,10.0276,10.1015,9.54686,9.69638,8.87248
verilator_result,62.49,59.7053,60.5818,60.7072,30.3117,30.6307,30.2717
wordpress_result,5.13904,5.09722,5.14352,5.14256,4.91576,4.92554,4.79552
